time,Position_x,Position_y,Position_z
0.000,936.57000,0.00599,23.66000
0.111,936.56790,0.05139,23.66011
0.209,936.56060,0.06772,23.66048
0.307,936.54660,0.06073,23.66123
0.408,936.52600,0.05578,23.66230
0.503,936.49890,0.05638,23.66372
0.602,936.46550,0.05759,23.66547
0.702,936.42550,0.05768,23.66758
0.812,936.37860,0.05739,23.67005
0.909,936.32020,0.05727,23.67311
1.006,936.24180,0.05724,23.67721
1.105,936.13690,0.05716,23.68267
1.204,936.00470,0.05704,23.68957
1.305,935.84550,0.05694,23.69786
1.405,935.65930,0.05684,23.70756
1.503,935.44520,0.05674,23.71872
1.601,935.20230,0.05663,23.73138
1.711,934.93070,0.05652,23.74545
1.809,934.62990,0.05641,23.76082
1.907,934.29970,0.05630,23.77758
2.003,933.93990,0.05619,23.79572
2.100,933.55070,0.05608,23.81511
2.201,933.13200,0.05597,23.83552
2.300,932.68450,0.05587,23.85682
2.403,932.20860,0.05576,23.87887
2.511,931.70470,0.05679,23.90145
2.606,931.17570,0.05701,23.92427
2.702,930.61770,0.05625,23.94722
2.810,930.03240,0.05610,23.97009
2.906,929.41680,0.05611,23.99267
3.000,928.77120,0.05602,24.01474
3.107,928.10180,0.05590,24.03616
3.203,927.40440,0.05581,24.05701
3.301,926.69740,0.05576,24.07669
3.409,925.98660,0.05579,24.09533
3.505,925.28030,0.05580,24.11328
3.604,924.57040,0.05579,24.13101
3.704,923.86540,0.05579,24.14817
3.802,923.15660,0.05580,24.16490
3.910,922.44950,0.05579,24.18103
4.006,921.71990,0.05572,24.19709
4.103,920.96120,0.05557,24.21309
4.211,920.16270,0.05543,24.22903
4.308,919.32310,0.05528,24.24462
4.405,918.43760,0.05511,24.25947
4.502,917.50730,0.05494,24.27284
4.610,916.53150,0.05478,24.28402
4.707,915.51120,0.05462,24.29270
4.805,914.44690,0.05446,24.29890
4.902,913.33940,0.05431,24.30296
5.010,912.18960,0.05415,24.30532
5.107,910.99800,0.05400,24.30603
5.203,909.76510,0.05385,24.30502
5.302,908.49120,0.05370,24.30220
5.411,907.17680,0.05356,24.29773
5.509,905.82220,0.05341,24.29244
5.607,904.42800,0.05327,24.28744
5.705,902.99450,0.05312,24.28370
5.803,901.52220,0.05298,24.28163
5.900,900.01130,0.05284,24.28182
6.004,898.46240,0.05271,24.28507
6.103,896.87590,0.05257,24.29219
6.201,895.25210,0.05244,24.30406
6.311,893.59130,0.05230,24.32171
6.409,891.89420,0.05217,24.34607
