Point1_x,Point1_z,Point2_x,Point2_z,線種別
915.26,31.89,687.7,35.42,歩車道境界
909.89,30.93,739.64,33.71,路肩
909.5,25.32,880.35,25.85,車線境界線
880.35,25.85,875.13,26.93,車線境界線
875.13,26.93,741.82,29.41,車線境界線
909.48,21.41,739.23,24.34,路肩
915.78,20.28,737.49,23.42,歩車道境界
899.32,31.16,899.06,25.46,停止線
741.84,29.41,741.79,24.31,停止線
675.52,35.71,649.98,36.02,歩車道境界
733.65,33.82,650.01,34.96,路肩
726.12,33.95,725.96,29.62,停止線
725.96,29.62,649.98,30.87,車線境界線
733.41,24.47,650.07,25.55,路肩
725.17,23.59,649.98,24.76,歩車道境界
649.98,36.02,631.26,35.43,歩車道境界
650.01,34.96,631.15,34.72,路肩
649.98,30.87,631.23,30.45,車線境界線
650.07,25.55,631.43,25.13,路肩
649.98,24.76,631.51,24.25,歩車道境界
631.26,35.43,596.82,33.67,歩車道境界
574.55,32.48,394.4,23.02,歩車道境界
631.15,34.72,395.25,22.29,路肩
631.23,30.45,395.46,17.96,車線境界線
395.46,17.96,395.66,12.71,停止線
631.43,25.13,394.24,12.65,路肩
617.33,23.46,393.98,11.72,歩車道境界
380.81,22.35,130.08,9.5,歩車道境界
376.68,21.33,135.05,8.7,路肩
374.15,21.13,374.12,16.83,停止線
374.12,16.83,137.25,4.36,車線境界線
137.25,4.36,137.46,-0.2,停止線
376.54,11.6,135.23,-0.36,路肩
380.55,11.11,127.38,-1.23,歩車道境界
116.13,9.15,25.45,6.03,歩車道境界
115.84,8.17,30.42,5.21,路肩
115.84,8.17,115.69,3.75,停止線
115.69,3.75,94.41,3.07,車線境界線
94.41,3.07,72.93,3.03,車線境界線
72.93,3.03,31.85,1.67,車線境界線
73.16,-0.24,31.97,-1.7,車線境界線
31.85,1.67,32.08,-5.06,停止線
112.57,-2.16,30.82,-5.09,路肩
111.94,-2.99,22.3,-6.13,歩車道境界
-18.24,3.79,-205.63,-2.75,歩車道境界
-220.47,-4.01,-350.08,-8.52,歩車道境界
-27.09,2.2,-62.09,0.89,路肩
-62.09,0.89,-84.07,-0.82,路肩
-84.07,-0.82,-350.1,-10.79,路肩
-27.09,2.2,-26.95,-4.57,停止線
-27.01,-1.13,-62.38,-2.33,車線境界線
-25.43,-4.55,-59.05,-5.79,車線境界線
-59.05,-5.79,-84.44,-5.5,車線境界線
-84.44,-5.5,-350.06,-15.39,車線境界線
-25.82,-8.04,-350.01,-20.06,路肩
-25.97,-10.66,-206.16,-16.9,歩車道境界
-219.93,-17.85,-349.93,-22.4,歩車道境界
-14.53,-23.35,-38.83,-150.05,歩車道境界
-14.84,-25.63,-2.939,-27.111,停止線
-10.56,-26.22,-34.01,-149.16,車線境界線
-6.76,-26.67,-13.91,-61.91,車線境界線
-10.16,-61.65,-16.543,-82.011,車線境界線
-16.543,-82.011,-29.38,-150,車線境界線
-2.705,-25.413,-26.7,-149.98,車線境界線
0.97,-30.12,-20.76,-143.98,車線境界線
7.81,-19.32,-17.41,-150.06,歩車道境界
-8.55,13.03,18.13,149.99,歩車道境界
0.05,29.83,22.27,149.97,車線境界線
4,25.45,27.19,150.06,車線境界線
11.64,62.67,20.75,97.6,車線境界線
20.75,97.6,29.79,150.04,車線境界線
4.39,27.52,15.23,25.82,停止線
8.22,26.89,15.62,62.02,車線境界線
11.79,26.42,34.34,149.99,車線境界線
14.96,18.64,38.78,150.02,歩車道境界
